feature_name,standardized_coefficient,source_factor,usage_type,classification
trend_efficiency_20__cs_robust_z,-0.009017218906887585,趋势效率,conditional,C
trend_efficiency_20__missing,0.0,趋势效率,quality_flag,C
vol_managed_momentum_20__cs_robust_z,-0.002409849733183716,波动率管理动量,risk,D
vol_managed_momentum_20__missing,0.0,波动率管理动量,quality_flag,D
trend_efficiency_60__cs_robust_z,0.010558203132842437,趋势效率,conditional,C
trend_efficiency_60__missing,0.0,趋势效率,quality_flag,C
vol_managed_momentum_60__cs_robust_z,-0.00012189700286471175,波动率管理动量,risk,D
vol_managed_momentum_60__missing,0.0,波动率管理动量,quality_flag,D
tsmom_120__cs_robust_z,0.0012492395866812933,时间序列动量,predictor,B
tsmom_120__missing,0.0,时间序列动量,quality_flag,B
trend_efficiency_120__cs_robust_z,-0.0013746208457435332,趋势效率,conditional,C
trend_efficiency_120__missing,0.0,趋势效率,quality_flag,C
realized_vol_120__cs_robust_z,0.003338632795464153,已实现波动率,risk,D
realized_vol_120__missing,0.0,已实现波动率,quality_flag,D
vol_managed_momentum_120__cs_robust_z,0.0028127109549039623,波动率管理动量,risk,D
vol_managed_momentum_120__missing,0.0,波动率管理动量,quality_flag,D
carry__cs_robust_z,0.008628693845410573,Carry,predictor,A
curve_curvature__cs_robust_z,-0.002965009430008986,期限结构曲率,predictor,B
curve_curvature__missing,0.005577409921215418,期限结构曲率,quality_flag,B
term_structure_slope__cs_robust_z,0.00361289171686303,期限结构斜率,predictor,A
basis_momentum_5__cs_robust_z,-0.0031127336254633247,基差动量,predictor,B
basis_momentum_5__missing,0.0,基差动量,quality_flag,B
carry_change_20__cs_robust_z,-0.00808474932882663,Carry变化,predictor,B
carry_change_20__missing,0.0,Carry变化,quality_flag,B
basis_momentum_20__cs_robust_z,0.004650250264341361,基差动量,predictor,B
basis_momentum_20__missing,0.0,基差动量,quality_flag,B
carry_change_60__cs_robust_z,0.004077406993665365,Carry变化,predictor,B
carry_change_60__missing,0.0,Carry变化,quality_flag,B
basis_momentum_60__cs_robust_z,0.0003680498599479752,基差动量,predictor,B
basis_momentum_60__missing,0.0,基差动量,quality_flag,B
term_structure_momentum_60__cs_robust_z,0.004439170239933998,期限结构动量,predictor,B
term_structure_momentum_60__missing,0.0,期限结构动量,quality_flag,B
reversal_5__cs_robust_z,0.009921119838719118,短期反转,predictor,B
reversal_20__cs_robust_z,0.0075158951630643405,短期反转,predictor,B
volume_shock_20__cs_robust_z,0.012126222121803617,成交量冲击,conditional,C
volume_shock_60__cs_robust_z,-0.006347869045069306,成交量冲击,conditional,C
volume_shock_60__missing,0.0,成交量冲击,quality_flag,C
oi_surprise_60__cs_robust_z,-0.006317928292550741,持仓意外,predictor,B
oi_surprise_60__missing,0.0,持仓意外,quality_flag,B
amihud_20__cs_robust_z,-0.00184187508213657,Amihud非流动性,risk,D
amihud_20__missing,0.0,Amihud非流动性,quality_flag,D
volume_oi_turnover__cs_robust_z,0.0027215273935658137,成交量—持仓量换手率,conditional,C
realized_skew_60__cs_robust_z,-0.003031494559630103,已实现偏度,risk,D
realized_skew_60__missing,0.0,已实现偏度,quality_flag,D
realized_skew_120__cs_robust_z,-0.003383881851411693,已实现偏度,risk,D
realized_skew_120__missing,0.0,已实现偏度,quality_flag,D
seasonality_3y_month__cs_robust_z,-0.0025315537502349937,季节性,predictor,B
seasonality_3y_month__missing,0.003139443168324525,季节性,quality_flag,B
idiosyncratic_vol_60__cs_robust_z,-0.007777112588023879,特质波动,risk,D
idiosyncratic_vol_60__missing,0.0,特质波动,quality_flag,D
correlation_risk_20_120__cs_robust_z,0.008489797434286935,相关性风险,risk,D
correlation_risk_20_120__missing,0.0,相关性风险,quality_flag,D
volume_price_divergence_20__cs_robust_z,0.007442446820307009,量价背离,conditional,C
volume_price_divergence_20__missing,0.0,量价背离,quality_flag,C
interaction__tsmom_20__oi_surprise_20__cs_robust_z,-0.0062285151231783195,因子交互,predictor,B
interaction__tsmom_20__oi_surprise_20__missing,0.0,因子交互,quality_flag,B
orth__carry_change_20__vs__basis_momentum_20,-0.0001766693549413148,Carry变化,orthogonalized_predictor,B
orth__basis_momentum_60__vs__carry_change_60,-0.008662890171539947,基差动量,orthogonalized_predictor,B
feature_available_count,-0.004011323248585684,全体入选因子,quality_flag,C
